episode,step,t,remaining_inventory,action,exec_price,mid_price,reward,is_twap,executed_qty,forced_qty,step_is
0,0,1,286.0,10,1004.8880648379517,1006.6849975585938,-1283.009962538442,0,714.0,0.0,1283.009962538442
0,1,2,20.0,13,1005.8258574407654,1006.6749877929688,-228.57893800901053,0,266.0,0.0,225.86867368609387
0,2,3,20.0,0,1006.6649780273438,1006.6649780273438,-0.006666666666666666,0,0.0,0.0,0.0
0,3,4,14.0,4,1006.4032451330567,1006.6649780273438,-1.700514553222556,0,6.0,0.0,1.570397365722556
0,4,5,7.0,7,1006.3992184731445,1006.6649780273438,-2.0097869314779784,0,7.0,0.0,1.8603168793946452
0,5,6,1.0,12,1006.4099806024323,1006.6749877929688,-1.6559350703022968,0,6.0,0.0,1.5900431432189635
0,6,7,0.0,12,1006.421054027298,1006.6749877929688,-0.2649435312956948,0,1.0,0.0,0.2539337656706948
1,0,1,714.0,4,1005.1158499319458,1005.8350219726562,-205.6832036431797,0,286.0,0.0,205.6832036431797
1,1,2,0.0,14,1003.967689254364,1005.8350219726562,-1333.3945608606537,0,714.0,0.0,1333.2755608606537
2,0,1,571.0,6,1002.5486121875,1003.625,-461.7703715625008,0,429.0,0.0,461.7703715625008
2,1,2,285.0,7,1002.79976934375,1003.625,-236.11113435417468,0,286.0,0.0,236.015967687508
2,2,3,0.0,14,1002.73051921875,1003.625,-255.02202265624075,0,285.0,0.0,254.92702265624075
3,0,1,643.0,5,1004.9872573944092,1005.885009765625,-320.4975965240412,0,357.0,0.0,320.4975965240412
3,1,2,0.0,14,1004.1782743753051,1005.885009765625,-1097.538022642339,0,643.0,0.0,1097.4308559756723
4,0,1,143.0,12,997.6629104789733,999.8049926757812,-1835.7644426643749,0,857.0,0.0,1835.7644426643749
4,1,2,51.0,9,999.3708346265717,999.8150024414062,-39.966373860616535,0,92.0,0.0,40.8634389647832
4,2,3,44.0,2,999.6002674124757,999.85498046875,-1.4500768431391333,0,7.0,0.0,1.7829913939203834
4,3,4,22.0,7,999.5210568306885,999.8150024414062,-6.2685885920403255,0,22.0,0.0,6.466803435790325
4,4,5,3.0,12,999.5530159716798,999.844970703125,-4.802224044594791,0,19.0,0.0,5.547139897459374
4,5,6,1.0,9,999.5607994770355,999.8150024414062,-0.4908863974914675,0,2.0,0.0,0.5084059287414675
4,6,7,0.0,5,999.5728063477021,999.8250122070312,-0.23318632807913764,0,1.0,0.0,0.25220585932913764
5,0,1,786.0,3,1005.1969171343994,1005.7349853515625,-115.1465984728975,0,214.0,0.0,115.1465984728975
5,1,2,0.0,14,1003.7049092836303,1005.7349853515625,-1595.7707893947202,0,786.0,0.0,1595.63978939472
6,0,1,286.0,10,1004.3689735415649,1006.1649780273438,-1282.3472028461306,0,714.0,0.0,1282.3472028461306
6,1,2,143.0,7,1005.600723600586,1006.1400146484375,-80.73604969302785,0,143.0,0.0,77.11861984276743
6,2,3,143.0,0,1006.125,1006.125,-0.04766666666666666,0,0.0,0.0,0.0
6,3,4,61.0,8,1005.6931765247192,1006.114990234375,-38.7592232152126,0,82.0,0.0,34.5887241917751
6,4,5,44.0,4,1005.8360448533325,1006.114990234375,-5.6325306248577505,0,17.0,0.0,4.742071477722334
6,5,6,0.0,14,1005.7638561027832,1006.114990234375,-17.686031347332378,0,44.0,0.0,15.449901790040713
7,0,1,143.0,12,998.7705176869201,1000.9149780273438,-1837.8025117430427,0,857.0,0.0,1837.8025117430427
7,1,2,71.0,7,1000.5303731165313,1000.9249877929688,-27.7153869118271,0,72.0,0.0,28.412256703493767
7,2,3,66.0,1,1000.6800114022064,1000.9249877929688,-1.1984997923531853,0,5.0,0.0,1.2248819538115185
7,3,4,24.0,9,1000.5861746846008,1000.9249877929688,-13.842740395204244,0,42.0,0.0,14.230150551454244
7,4,5,2.0,13,1000.6257112216186,1000.9249877929688,-6.379869725952327,0,22.0,0.0,6.584084569702327
7,5,6,1.0,1,1000.682761939209,1000.9349975585938,-0.2338827548014721,0,1.0,0.0,0.25223561938480543
7,6,7,1.0,0,1000.9249877929688,1000.9249877929688,-0.001,0,0.0,0.0,0.0
7,7,8,0.0,3,1000.6624972241364,1000.9149780273438,-0.2536474698740573,0,1.0,0.0,0.25248080320739064
8,0,1,857.0,2,1006.4000930621338,1006.760009765625,-51.46808859924079,0,143.0,0.0,51.46808859924079
8,1,2,367.0,8,1005.4308151666412,1006.7000122070312,-651.4481868353973,0,490.0,0.0,621.9065497911265
8,2,3,0.0,14,1005.5521221538696,1006.635009765625,-443.4170868475585,0,367.0,0.0,397.41975351422514
9,0,1,571.0,6,1002.7883450323486,1003.864990234375,-461.8807916693188,0,429.0,0.0,461.8807916693188
9,1,2,204.0,9,1002.8362795856323,1003.864990234375,-377.6319747552489,0,367.0,0.0,377.53680808858223
9,2,3,87.0,8,1003.3715905916748,1003.864990234375,-57.79575819592141,0,117.0,0.0,57.72775819592141
9,3,4,50.0,6,1003.5430005387574,1003.864990234375,-11.957118737851834,0,37.0,0.0,11.913618737851834
9,4,5,7.0,12,1003.5186568127441,1003.864990234375,-14.925670463462128,0,43.0,0.0,14.892337130128794
9,5,6,6.0,1,1003.6032638323975,1003.85498046875,-0.2675597353108454,0,1.0,0.0,0.25171663635251207
9,6,7,6.0,0,1003.864990234375,1003.864990234375,-0.006,0,0.0,0.0,0.0
9,7,8,2.0,10,1003.6054911343994,1003.864990234375,-1.0449963999025675,0,4.0,0.0,1.0379963999025676
9,8,9,1.0,1,1003.6020090136718,1003.85498046875,-0.2656478873698485,0,1.0,0.0,0.25297145507818186
9,9,10,0.0,9,1003.6017580499268,1003.85498046875,-0.26473218444815666,0,1.0,0.0,0.25322241882315666
10,0,1,500.0,7,1004.597661743164,1005.85498046875,-628.6593627929733,0,500.0,0.0,628.6593627929733
10,1,2,0.0,14,1004.4719298706054,1005.85498046875,-691.6086324056154,0,500.0,0.0,691.525299072282
11,0,1,714.0,4,1005.3856154077148,1006.10498046875,-205.73840745606867,0,286.0,0.0,205.73840745606867
11,1,2,612.0,2,1005.776487192627,1006.10498046875,-33.62531416454871,0,102.0,0.0,33.50631416454871
11,2,3,481.0,3,1005.677888904541,1006.10498046875,-56.15299491138369,0,131.0,0.0,55.94899491138369
11,3,4,206.0,8,1005.2827411734619,1006.10498046875,-226.35630620423126,0,275.0,0.0,226.11580620423126
11,4,5,0.0,14,1005.3871245651856,1006.10498046875,-148.01564946760823,0,206.0,0.0,147.87831613427488
12,0,1,357.0,9,1003.0899537748718,1004.7050170898438,-1038.485711526972,0,643.0,0.0,1038.485711526972
12,1,2,0.0,14,1003.6867474510804,1004.7449951171875,-363.58176103853367,0,357.0,0.0,377.7944168002524
13,0,1,571.0,6,1005.0259328771972,1006.10498046875,-462.9114167761545,0,429.0,0.0,462.9114167761545
13,1,2,0.0,14,1004.5608608499756,1006.10498046875,-881.7874689868505,0,571.0,0.0,881.6923023201839
14,0,1,71.0,13,998.1713454910279,1000.4949951171875,-2158.6705027023017,0,929.0,0.0,2158.6705027023017
14,1,2,35.0,7,1000.172585605011,1000.4949951171875,-11.618575771686528,0,36.0,0.0,11.606742438353194
14,2,3,25.0,4,1000.2286133247376,1000.4949951171875,-2.6754845911658656,0,10.0,0.0,2.663817924499199
14,3,4,7.0,10,1000.2061021873475,1000.4949951171875,-5.2125727371203086,0,18.0,0.0,5.200072737120308
14,4,5,5.0,5,1000.2416197596741,1000.4949951171875,-0.5114173816934496,0,2.0,0.0,0.5067507150267829
14,5,6,3.0,6,1000.2411195121765,1000.4949951171875,-0.5119178766886459,0,2.0,0.0,0.5077512100219792
14,6,7,0.0,14,1000.2381180271911,1000.4949951171875,-0.7736312699890532,0,3.0,0.0,0.7706312699890532
15,0,1,929.0,1,1005.7064651763916,1005.885009765625,-12.67666583557218,0,71.0,0.0,12.67666583557218
15,1,2,465.0,7,1004.7003286953735,1005.885009765625,-549.8468499300228,0,464.0,0.0,549.6920165966894
15,2,3,465.0,0,1005.885009765625,1005.885009765625,-0.155,0,0.0,0.0,0.0
15,3,4,199.0,8,1005.0815591140747,1005.885009765625,-213.95037331237782,0,266.0,0.0,213.71787331237783
15,4,5,14.0,13,1005.2183594754027,1005.885009765625,-123.46297035778562,0,185.0,0.0,123.33030369111896
15,5,6,7.0,7,1005.6194561230468,1005.885009765625,-1.870542164714049,0,7.0,0.0,1.8588754980473823
15,6,7,0.0,14,1005.6176958242798,1005.885009765625,-1.8781975894160559,0,7.0,0.0,1.871197589416056
16,0,1,857.0,2,999.8723982507324,1000.22998046875,-51.13425717651239,0,143.0,0.0,51.13425717651239
16,1,2,367.0,8,998.9739390937805,1000.2349853515625,-615.6031070684016,0,490.0,0.0,617.9126663131933
16,2,3,79.0,11,999.3565289756775,1000.2349853515625,-251.67636333820755,0,288.0,0.0,252.99543625487422
16,3,4,11.0,12,999.8446470578918,1000.2449951171875,-26.242171938354343,0,68.0,0.0,27.223668032104342
16,4,5,6.0,6,999.9851814797058,1000.2449951171875,-1.2313282785541855,0,5.0,0.0,1.299068187408352
16,5,6,1.0,12,999.983931173462,1000.2449951171875,-1.2352464764400155,0,5.0,0.0,1.3053197186275156
